content,cleaned_content,label,지점명
맛있어요,맛있다,1,가수원DT점
빨리나와요,빨리 나오다,1,가수원DT점
위치가좋아요,위치 가 좋다,1,가수원DT점
좋아요,좋다,1,가수원DT점
좋아요,좋다,1,가수원DT점
버거에 소스좀 많이넣어줘요~,버거 에 소스 좀 많이 넣다,1,가수원DT점
바쁜데도친절해요,바쁘다 친절하다,1,가수원DT점
굿,굿,1,가수원DT점
굿,굿,1,가수원DT점
직원분 친절하세요~♡,직원 분 친절하다,1,가수원DT점
굿굿,굿굿,1,가수원DT점
1955버거 맛있어요 ^^,버거 맛있다,1,가수원DT점
좋아요,좋다,1,가수원DT점
굳 입니다.,굳다 이다,1,가수원DT점
맛있어요,맛있다,1,가수원DT점
굿,굿,1,가수원DT점
아 사진을 안찍고 다먹어버림요 종종 먹는 맥모닝이예요 ㅋ,아 사진 을 안 찍다 다 먹다 버리다 종종 먹다 맥 모닝 이 예요,1,가수원DT점
"관저동에서 맛있는 거 먹고 집 가는 길에 쥬문,,
두 번 결제하게ㅡㅡㅡㅡ만드심",관저동 에서 맛있다 거 먹다 집 가다 길 에 쥬문 두 번 결제 하다 만드심,0,가수원DT점
맛있어요,맛있다,1,가수원DT점
굿 ,굿,1,가수원DT점
굿굿,굿굿,1,가수원DT점
굿,굿,1,가수원DT점
좋아요,좋다,1,가수원DT점
맛있어요 ,맛있다,1,가수원DT점
🐮🐮👍🏻,,1,가수원DT점
다른 어떤 맥날을 가도 여기보다 깨끗한 곳 못봄,다른 어떻다 맥날 을 가도 여기 보다 깨끗하다 곳 못 보다,1,가수원DT점
차량 이용자들이 많아서 점심시간엔 헬이에요,차량 이용자 들 이 많다 점심시간 엔 헬 이에요,1,가수원DT점
드라이브 스루 넘 좋아요,드라이브 스루 넘다 좋다,0,가수원DT점
굿,굿,1,가수원DT점
맛있어요,맛있다,1,가수원DT점
매장깔끔하고 맛나요,매장 깔끔하다 맛 나 요,1,가수원DT점
매장이 넓고  친절해요,매장 이 넓다 친절하다,1,가수원DT점
오레오 맥플러리 중독,오레오 맥플러리 중독,1,가수원DT점
좋아요,좋다,1,가수원DT점
밤에 드라이드 하면 꼭 오는 곳입니다. 늦게까지 해서 좋고 햄버거도 너무 맛있습니다. 또 올께요,밤 에 드라이 드 하다 꼭 오다 곳 이다 늦다 하다 좋다 햄버거 도 너무 맛있다 또 오다,1,가수원DT점
불친절함 ,불친절하다,1,가수원DT점
할인하는 제품도 많고 맛있어요,할인 하다 제품 도 많다 맛있다,1,가수원DT점
ㆍ,,0,가수원DT점
가격대비 저렴하고 맛있고 빠르고..,가격 대비 저렴하다 맛있다 빠르다,1,가수원DT점
항상 만족스러운곳 굿굿,항상 만족스럽다 곳 굿굿,1,가수원DT점
친절하시네요,친절하다,1,가수원DT점
"감튀맛나용
",감 튀다 맛 나용,1,가수원DT점
자주 갑니다,자주 가다,1,가수원DT점
좋아요,좋다,1,가수원DT점
"빅맥, 애플파이, 복숭아칠러 굿~",빅맥 애플파이 복숭아 치르다 굿,1,가수원DT점
굿,굿,1,가수원DT점
굿,굿,1,가수원DT점
"맛있어요
",맛있다,1,가수원DT점
굿굿,굿굿,1,가수원DT점
친절해요 ,친절하다,1,가수원DT점
좋아요,좋다,1,가수원DT점
아이들이랑 한끼 간단히 먹기좋아요.드라이브쓰루라 주문.픽업도 편하고요,아이 들 이랑 한 끼 간단하다 먹기 좋다 드라이브 쓰다 루 라 주문 픽업 도 편하다,1,가수원DT점
굿,굿,1,가수원DT점
로드뷰 맛집이요,로드 뷰 맛집 이 요,1,가수원DT점
좋아요!!,좋다,1,가수원DT점
가수원 맥도날드 깔끔 하네요,가수원 맥도날드 깔다 끄다 하다,1,가수원DT점
