content,date,지점명,YearMonth
"수면내시경하고 ""이상무""여서 맥모닝 시켜먹었다고 한다~ 맥모닝 신제품인데 딱히 구제품들과 차별화를  모르겠다. m자가 맘에 들어
서 사진을 찍고 찍다보니 리뷰를 쓰게 됬는데 m자를 정방향으로 잘찍었어야했는데 이미 뱃속으로 사라져서 다음 기회에...^^",2023-07-01,유성DT점,2023-07
좋아요,2023-07-01,유성DT점,2023-07
자리도 넓고 음식도 빨리 나와 좋았어요!,2023-07-01,유성DT점,2023-07
"good
",2023-07-01,유성DT점,2023-07
,2023-07-01,유성DT점,2023-07
크림 크로켓 맛남!,2023-07-01,유성DT점,2023-07
혼밥 ㅎㅎ,2023-07-01,유성DT점,2023-07
혼밥,2023-07-01,유성DT점,2023-07
굿,2023-07-01,유성DT점,2023-07
드라이브스루편해용,2023-07-01,유성DT점,2023-07
ㅎ,2023-07-01,유성DT점,2023-07
친절하고 좋아요 ,2023-07-01,유성DT점,2023-07
추천,2023-07-01,유성DT점,2023-07
이른아침 맥모닝 먹기 좋음,2023-07-01,유성DT점,2023-07
가끔가다가 맥모닝 세트.. 별미죠,2023-07-01,유성DT점,2023-07
주차공간이 협소하긴 하지만 편해요!,2023-07-01,유성DT점,2023-07
맛있어욤 사람짱많 맥날먀이씀,2023-07-01,유성DT점,2023-07
특별한 해피밀 장난감!!!,2023-06-01,유성DT점,2023-06
"영화관 가기전 필수코스 맥드라이브 친절해서 좋고 많이 가면 직원분들 힘들겠지만, 청주지점이랑 비교하자면 고객의소리를 듣고 요
청에 응해주시네요 비교는 케첩 더 주세요 입니다. 청주봉명지점은 농락하듯 알겠다고 하고 안주는데 광역시는 챙겨주시네요 돈이 없
는것두 아니고 라지사이즈 먹으면 케첩 부족해요, 영화관서 당연히 없을 줄 알았는데, 더 들어있어서 감동한 아재.. 감사합니다 ...",2023-06-01,유성DT점,2023-06
좋아요,2023-06-01,유성DT점,2023-06
일주일에 한번이상은 먹는거 같아요🤣🤣🧡,2023-06-01,유성DT점,2023-06
매장은 더러워요. 그냥 간편하게 먹을라고 들렀네요,2023-06-01,유성DT점,2023-06
굳,2023-06-01,유성DT점,2023-06
좋아요,2023-06-01,유성DT점,2023-06
굿,2023-06-01,유성DT점,2023-06
굿,2023-06-01,유성DT점,2023-06
친절하고 좋아요 ,2023-06-01,유성DT점,2023-06
굿,2023-06-01,유성DT점,2023-06
굿굿 ,2023-06-01,유성DT점,2023-06
굿,2023-06-01,유성DT점,2023-06
서울다녀오는 길에 배가 너무 고파서 ㅜㅜ 진짜 얼마만에 맥날이지용? 근데 버거가 진짜 작아졌네요🥲 애기가 먹는 것 같아요……,2023-06-01,유성DT점,2023-06
맥도날드 어플 받아 불고기버거 1000 원에 구매했오요,2023-06-01,유성DT점,2023-06
,2023-06-01,유성DT점,2023-06
맛있어용,2023-06-01,유성DT점,2023-06
"맥모닝 잘 구입해 잘 먹었어요
맛닜어요~~~",2023-06-01,유성DT점,2023-06
👎🏻,2023-06-01,유성DT점,2023-06
굳,2023-06-01,유성DT점,2023-06
짱,2023-06-01,유성DT점,2023-06
조아요,2023-06-01,유성DT점,2023-06
조아요,2023-06-01,유성DT점,2023-06
